age,education.num,race,sex,hours.per.week,income
51,13,White,Female,40,>50K
18,6,White,Male,40,<=50K
50,9,White,Male,40,<=50K
32,9,Black,Female,40,<=50K
35,9,White,Male,48,<=50K
37,10,White,Female,40,<=50K
28,11,White,Male,70,>50K
64,9,White,Male,40,>50K
61,14,White,Female,40,>50K
30,13,White,Male,60,>50K
41,9,Black,Female,40,<=50K
23,10,White,Female,40,<=50K
58,13,White,Female,62,<=50K
43,10,Black,Female,38,<=50K
49,10,White,Male,48,>50K
62,9,Black,Female,99,<=50K
29,10,White,Male,40,<=50K
19,9,White,Male,35,<=50K
33,9,Asian-Pac-Islander,Male,40,<=50K
39,11,White,Male,40,<=50K
42,14,White,Male,40,>50K
52,13,White,Male,48,>50K
21,9,White,Female,60,<=50K
25,12,White,Male,48,<=50K
58,11,White,Female,40,<=50K
41,9,White,Female,50,<=50K
23,9,Black,Female,40,<=50K
45,14,Black,Female,40,<=50K
31,11,White,Male,38,<=50K
49,14,White,Male,45,>50K
59,9,White,Male,40,>50K
33,10,White,Male,24,<=50K
59,4,White,Male,40,<=50K
47,12,Black,Male,40,<=50K
21,10,White,Female,10,<=50K
21,10,White,Male,20,<=50K
38,13,White,Male,40,>50K
81,9,White,Male,18,<=50K
38,5,Black,Male,40,<=50K
36,13,White,Female,40,<=50K
49,9,White,Male,40,<=50K
56,9,White,Male,35,>50K
19,10,White,Female,40,<=50K
55,9,Asian-Pac-Islander,Male,40,<=50K
26,10,White,Female,40,<=50K
29,9,White,Male,40,>50K
31,5,White,Male,40,<=50K
50,9,White,Male,40,>50K
83,9,White,Female,20,<=50K
31,9,White,Female,40,<=50K
61,14,White,Female,40,>50K
36,13,White,Male,60,<=50K
71,4,White,Male,40,>50K
23,10,White,Male,40,<=50K
48,10,White,Female,38,<=50K
36,7,White,Male,40,<=50K
49,14,White,Female,20,<=50K
40,9,White,Male,50,<=50K
29,10,White,Female,40,<=50K
27,9,White,Male,40,<=50K
32,9,White,Male,40,<=50K
19,9,Black,Female,30,<=50K
23,9,White,Male,40,<=50K
29,7,Asian-Pac-Islander,Female,14,<=50K
22,13,White,Female,35,<=50K
59,14,White,Female,40,>50K
36,9,Black,Male,40,<=50K
22,9,White,Male,50,<=50K
40,12,White,Male,50,>50K
34,13,White,Male,55,>50K
27,9,White,Male,40,<=50K
44,9,Black,Male,60,<=50K
62,9,White,Male,40,<=50K
34,14,White,Male,40,>50K
49,10,White,Female,32,<=50K
64,9,White,Male,50,>50K
63,10,White,Male,40,<=50K
